-0.162411		-0.647801
-0.132132		-0.2941
-0.0545605		-0.191688
-0.0126264		0.45294
-0.342989		1.24428
-0.478244		1.83706
-0.477096		2.58672
-0.435076		3.27995
-0.196427		3.19841
-0.0549838		3.63947
-0.0191828		3.61207
-0.193645		3.18606
0.0507921		2.26621
0.171652		0.948456
-0.11498		-0.427552
0.281901		-1.33705
-0.011766		-1.98175
-0.00930195		-2.62753
0.143314		-3.01994
0.263933		-3.57849
0.0822606		-3.41449
0.223846		-2.60877
0.0392505		-1.94179
0.123109		-1.52008
0.0107343		-1.09214
-0.208375		-0.566537
