0.388962		-0.0558563
1.44959		-0.228438
3.23787		-0.239939
4.99786		-0.282035
5.71554		-0.343944
6.11781		-0.298289
6.01884		-0.245825
5.22185		-0.243299
3.81684		-0.10346
2.53466		-0.245051
0.693724		0.184713
-0.749053		0.0835364
-2.34732		0.0371124
-3.45927		0.0380835
-4.08506		0.416368
-4.67011		0.183816
-5.00431		0.0131152
-4.42511		-0.0235901
-2.9564		0.112226
-1.24754		0.0842554
-0.417389		0.078833
-0.201016		0.203454
0.220264		0.168362
-0.00150391		0.245543
-0.150498		0.0905859
-0.128638		-0.160917
